                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.71557,                0.77319,                 1.0219,                0.94032,                0.87085,                0.96128,                0.80792,                0.61527,                0.75248,                0.98052,             0.00096733,             0.00096733,             0.00096733
                     36,                0.66744,                  0.719,                0.98668,                0.94435,                0.93192,                0.97107,                 0.8293,                0.57504,                0.65001,                0.94963,             0.00096634,             0.00096634,             0.00096634
                     37,                0.65669,                0.69746,                0.97914,                0.90589,                 0.9307,                0.96347,                0.82434,                 0.5958,                0.60292,                 0.9611,             0.00096535,             0.00096535,             0.00096535
                     38,                0.66125,                0.72977,                0.99875,                 0.9389,                0.88805,                0.96056,                0.82685,                0.56745,                0.61086,                0.94349,             0.00096436,             0.00096436,             0.00096436
                     39,                0.70395,                 0.7231,                 1.0267,                  0.941,                0.93122,                0.98221,                0.85172,                0.57809,                0.62298,                0.94604,             0.00096337,             0.00096337,             0.00096337
                     40,                0.65196,                0.71406,                0.99987,                0.95164,                0.91021,                0.97275,                0.82114,                0.61074,                0.62931,                0.95403,             0.00096238,             0.00096238,             0.00096238
                     41,                0.63498,                0.68851,                0.99437,                0.96221,                 0.8871,                0.96767,                0.83367,                 0.5762,                0.63103,                  0.943,             0.00096139,             0.00096139,             0.00096139
                     42,                0.66562,                0.66562,                0.99038,                0.95953,                0.92878,                0.97883,                0.85179,                0.57217,                0.57232,                 0.9474,              0.0009604,              0.0009604,              0.0009604
                     43,                0.66827,                0.67791,                0.98929,                0.95161,                0.92478,                 0.9771,                0.82937,                0.62072,                 0.5736,                0.96765,             0.00095941,             0.00095941,             0.00095941
                     44,                0.64616,                0.65045,                0.96867,                0.92725,                0.91751,                0.96358,                0.81865,                 0.6074,                0.63871,                0.98736,             0.00095842,             0.00095842,             0.00095842
                     45,                0.63247,                0.63468,                0.98619,                0.97607,                 0.9379,                0.96927,                0.82522,                0.57505,                0.58785,                0.95586,             0.00095743,             0.00095743,             0.00095743
                     46,                  0.635,                0.65902,                0.97669,                0.95363,                0.87888,                0.97211,                0.83105,                0.60475,                0.59594,                0.95129,             0.00095644,             0.00095644,             0.00095644
                     47,                0.65034,                0.66826,                 1.0022,                0.95769,                0.90113,                 0.9576,                0.82157,                0.59312,                0.59491,                0.94102,             0.00095545,             0.00095545,             0.00095545
                     48,                0.63507,                0.65839,                0.98484,                0.91045,                0.91951,                0.96169,                0.80632,                0.64824,                0.63115,                  1.004,             0.00095446,             0.00095446,             0.00095446
                     49,                0.65685,                0.66924,                 1.0007,                0.98947,                0.91109,                 0.9746,                0.85198,                0.58381,                0.56972,                0.94985,             0.00095347,             0.00095347,             0.00095347
                     50,                0.62972,                0.60359,                0.98332,                0.95955,                0.94953,                0.97618,                0.85008,                0.60778,                0.53704,                0.97081,             0.00095248,             0.00095248,             0.00095248
